id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
4	"abt-sacks, a."	1.1277	-0.3405	1	9	15	6	2022.6667
13	"aguilar-latorre, a."	-0.2351	-0.3562	4	6	17	8	2022.625
16	"aguirre, u."	-0.2852	0.8324	2	4	11	7	2022.5714
29	"alonso-coello, p."	1.2657	-0.318	1	6	9	6	2022.5
100	"barceló-soler, a."	-1.0273	-0.1502	6	4	15	5	2022.8
111	"bartolomé-moreno, c."	-0.6784	-0.178	4	12	23	7	2022.7143
140	"berenguera, a."	-0.4869	0.1424	2	10	15	7	2023
184	"bulilete, o."	-0.2426	-0.0461	3	4	10	5	2022.2
235	"castells, x."	-0.2987	0.4271	2	10	31	12	2022.3333
250	"chela-alvarez, x."	-0.3517	-0.0535	3	9	14	5	2022.4
258	"clavería, a."	-0.3431	-0.529	4	11	30	10	2022.2
284	"couso-viana, s."	-0.1905	-0.5362	4	6	18	6	2022
323	"del cura-gonzález, i."	0.4613	0.5334	5	6	10	7	2022.4286
341	"domingo, l."	-0.4052	0.478	2	10	24	6	2022.5
349	"duarte-díaz, a."	1.1275	-0.1877	1	10	41	8	2022.25
421	"forjaz, m. j."	0.5365	0.2163	5	4	4	9	2022.4444
451	"garcia-ortiz, l."	-0.728	-0.4102	3	5	8	6	2022.1667
463	"garcía-campayo, j."	-0.9972	-0.0406	6	4	16	6	2022.6667
516	"gimeno-miguel, a."	0.416	0.3669	5	7	29	10	2022.2
548	"gonzález-pacheco, h."	0.888	-0.1051	1	9	24	7	2022.5714
551	"gonzález-rubio, f."	0.293	0.3394	5	6	22	6	2022.1667
582	"gómez-gómez, i."	-0.4045	-0.2998	3	13	25	6	2022.6667
621	"infante-ventura, d."	0.73	-0.2194	1	5	10	5	2022.8
624	"ioakeim-skoufa, i."	0.2024	0.2478	5	5	18	7	2022.2857
665	"lear-claveras, a."	-0.2245	-0.6326	4	4	15	5	2022
670	"leiva, a."	-0.174	0.0482	3	6	7	7	2022
692	"llobera, j."	-0.3821	-0.1803	3	13	23	6	2022.3333
704	"louro, j."	-0.1805	0.5118	2	6	16	5	2022
723	"lópez-del-hoyo, y."	-0.9176	-0.1255	6	7	18	6	2022.6667
733	"macià, f."	-0.2039	0.3785	2	8	13	6	2022.1667
738	"magallón-botaya, r."	-0.5273	-0.2287	4	8	24	9	2022.5556
803	"medina-perucha, l."	-0.4786	0.2562	2	4	9	6	2023
846	"moreno-peral, p."	-0.4857	-0.4698	3	10	17	5	2022.8
852	"motrico, e."	-0.4908	-0.3492	3	14	28	8	2022.625
863	"méndez-lópez, f."	-0.5551	-0.1079	4	9	19	6	2022.8333
891	"oliván-blázquez, b."	-0.3415	-0.3976	4	14	51	19	2022.4737
898	"orive, m."	-0.353	0.7068	2	8	17	5	2022.8
903	"orrego, c."	1.262	-0.235	1	7	11	5	2022.4
942	"peiró, s."	0.3252	-1.2999	7	0	0	6	2022.5
949	"perestelo-pérez, l."	1.0171	-0.38	1	9	35	7	2022.2857
967	"poblador-plou, b."	0.3931	0.2746	5	7	24	7	2022.1429
969	"polentinos-castro, e."	0.38	0.5319	5	6	8	5	2022.2
989	"prados-torres, a."	0.2754	0.4416	5	13	34	10	2022.1
1006	"pérez-aranda, a."	-1.0877	-0.0718	6	3	13	5	2022.6
1014	"quesada, j. a."	0.7007	1.2752	8	0	0	5	2023
1016	"quintana, j. m."	-0.398	0.7968	2	8	26	13	2022.8462
1023	"ramallo-fariña, y."	0.7816	-0.0498	1	10	28	10	2022.5
1026	"ramos, r."	-0.62	-0.3044	3	12	19	5	2022.4
1027	"ramos-garcía, v."	1.0285	-0.2631	1	12	34	8	2022.375
1039	"recio-rodríguez, j. i."	-0.7466	-0.5088	3	3	3	5	2022.4
1041	"redondo, m."	-0.2449	0.6802	2	10	26	10	2022.6
1053	"rico-blázquez, m."	0.4305	0.6128	5	3	4	5	2022.4
1063	"rivero-santana, a."	1.0474	-0.1152	1	10	39	7	2022.2857
1103	"rodríguez-sánchez, e."	-0.6567	-0.5278	3	5	8	5	2022.4
1141	"sala, m."	-0.3178	0.5333	2	10	25	7	2022.4286
1186	"serrano-aguilar, p."	0.9228	-0.2193	1	12	49	16	2022.375
1189	"serrano-ripoll, m. j."	-0.2312	-0.2344	4	11	18	7	2022.5714
1230	"tamayo-morales, o."	-0.6152	-0.42	3	15	25	9	2022.3333
1255	"trujillo-martín, m. m."	0.793	-0.2769	1	6	10	5	2022.6
1308	"villanueva, a."	-0.4066	0.8981	2	4	11	8	2022.875
1347	"álvarez-pérez, y."	0.9082	-0.3612	1	8	30	6	2022.3333
